epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1789.54,1.41272,10.6248,2.89064,0.01409,0.83448,0.14433,0.12073,1.29861,16.6083,3.08489,9.99798e-05,9.99798e-05,9.99798e-05
2,3677.62,1.22102,8.29803,2.54076,0.53347,0.49534,0.53678,0.47622,1.26045,12.2092,2.85714,0.00019899,0.00019899,0.00019899
3,5469.15,1.2419,6.23058,2.50836,0.67412,0.65924,0.75895,0.64103,1.48901,9.91276,3.1401,0.000296001,0.000296001,0.000296001
4,7071.87,1.20331,5.00168,2.46996,0.65352,0.68216,0.76404,0.63093,1.67063,8.37993,3.51883,0.000294001,0.000294001,0.000294001
5,8662.89,1.17506,4.14122,2.4344,0.76465,0.77344,0.87491,0.73861,1.36914,6.61852,2.9495,0.000291001,0.000291001,0.000291001
6,10241.2,1.11297,3.54012,2.38584,0.80903,0.81009,0.92039,0.82266,1.07228,5.05407,2.5003,0.000288001,0.000288001,0.000288001
7,11817.5,1.07829,3.17583,2.35435,0.70019,0.89046,0.92503,0.78934,1.31202,4.52458,2.77476,0.000285002,0.000285002,0.000285002
8,13395.1,1.05054,2.82906,2.32749,0.8798,0.88021,0.97258,0.86085,1.10232,3.62034,2.56912,0.000282002,0.000282002,0.000282002
9,14969.9,1.03759,2.6027,2.31265,0.80577,0.88351,0.92732,0.82374,1.16848,3.49752,2.69432,0.000279002,0.000279002,0.000279002
10,16545.1,1.01623,2.29028,2.29375,0.89309,0.93262,0.97584,0.87946,1.00532,2.78312,2.40764,0.000276003,0.000276003,0.000276003
11,18120.8,0.99837,2.18538,2.28663,0.89193,0.93841,0.98312,0.87812,1.06241,2.41927,2.46615,0.000273003,0.000273003,0.000273003
12,19694.1,0.98489,1.96841,2.28044,0.91881,0.91578,0.98204,0.87652,1.0872,2.40487,2.48684,0.000270003,0.000270003,0.000270003
