epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2633.92,1.75063,11.6126,3.09834,0.37754,0.11057,0.09581,0.0762,1.51364,16.9225,3.04627,6.35871e-05,6.35871e-05,6.35871e-05
2,5271.14,1.5062,9.59443,2.72343,0.62656,0.21565,0.361,0.29004,1.80014,14.4394,3.2464,0.000126324,0.000126324,0.000126324
3,7875.13,1.54766,7.70893,2.69659,0.58483,0.53193,0.62549,0.53111,1.44217,11.2972,2.881,0.000187794,0.000187794,0.000187794
4,10459.8,1.5143,6.19446,2.65272,0.69567,0.73667,0.83982,0.70845,1.41442,8.45675,2.81217,0.000186298,0.000186298,0.000186298
5,13055.8,1.45391,5.09111,2.59994,0.75927,0.77835,0.89287,0.76706,1.35297,6.98024,2.73873,0.000184397,0.000184397,0.000184397
6,15646.8,1.42485,4.38129,2.55868,0.76239,0.79881,0.88729,0.75979,1.33948,5.8318,2.69028,0.000182496,0.000182496,0.000182496
7,18236.9,1.36803,3.76366,2.50809,0.76447,0.81857,0.92524,0.79637,1.27552,4.84089,2.62575,0.000180595,0.000180595,0.000180595
8,20829.9,1.32868,3.33804,2.45699,0.86936,0.84119,0.95368,0.81709,1.30863,3.93327,2.66476,0.000178694,0.000178694,0.000178694
9,23424.6,1.29846,2.95038,2.431,0.86285,0.85287,0.95877,0.81709,1.33865,3.54146,2.70193,0.000176794,0.000176794,0.000176794
10,26017,1.26272,2.77063,2.40214,0.87878,0.88505,0.96244,0.84164,1.20138,3.01739,2.54714,0.000174893,0.000174893,0.000174893
11,28608.8,1.25852,2.55244,2.39575,0.86935,0.89045,0.97041,0.85361,1.16295,2.71903,2.48619,0.000172992,0.000172992,0.000172992
12,31198.9,1.24863,2.45327,2.40433,0.89245,0.89307,0.97394,0.85411,1.19664,2.40706,2.54874,0.000171091,0.000171091,0.000171091
13,33788.1,1.23701,2.27846,2.39478,0.91019,0.9368,0.9829,0.86089,1.22176,2.18341,2.57045,0.00016919,0.00016919,0.00016919
14,36398.7,1.22514,2.15752,2.38386,0.9113,0.92533,0.98144,0.86599,1.15901,2.01497,2.46835,0.00016729,0.00016729,0.00016729
15,39005.3,1.21603,2.02948,2.37317,0.881,0.93272,0.9767,0.85635,1.15532,1.95249,2.46092,0.000165389,0.000165389,0.000165389
16,41591.2,1.18495,1.92106,2.34141,0.93622,0.93524,0.98298,0.86866,1.14272,1.68171,2.46706,0.000163488,0.000163488,0.000163488
17,44181.1,1.15482,1.80498,2.32782,0.94223,0.93405,0.98734,0.87109,1.15203,1.51517,2.46706,0.000161587,0.000161587,0.000161587
18,46771.4,1.1565,1.74302,2.32775,0.90226,0.92567,0.97813,0.86466,1.12964,1.4832,2.43445,0.000159686,0.000159686,0.000159686
19,51318.8,1.14102,1.62658,2.30537,0.94988,0.92162,0.9847,0.86873,1.1438,1.38374,2.42604,0.000157786,0.000157786,0.000157786
20,54034.7,1.1408,1.56708,2.30372,0.91922,0.95599,0.98879,0.87534,1.16535,1.25342,2.47163,0.000155885,0.000155885,0.000155885
21,57296.7,1.13355,1.58608,2.29277,0.94792,0.94031,0.9877,0.87374,1.16359,1.20756,2.43931,0.000153984,0.000153984,0.000153984
22,59964.5,1.11466,1.528,2.28806,0.95496,0.96123,0.99154,0.87889,1.12099,1.07815,2.39996,0.000152083,0.000152083,0.000152083
23,62795,1.11853,1.47159,2.28562,0.94231,0.96309,0.99036,0.88045,1.11672,1.06111,2.40846,0.000150182,0.000150182,0.000150182
24,65434.6,1.09938,1.42021,2.28463,0.94293,0.96023,0.99241,0.89119,1.05563,0.98904,2.32837,0.000148282,0.000148282,0.000148282
25,68272.9,1.09044,1.35082,2.27775,0.95419,0.94831,0.98898,0.87976,1.09398,1.00074,2.37344,0.000146381,0.000146381,0.000146381
26,71388,1.09387,1.33386,2.26972,0.96602,0.95578,0.9935,0.88719,1.09097,0.92235,2.38852,0.00014448,0.00014448,0.00014448
27,74377.2,1.08564,1.32885,2.26493,0.93974,0.96834,0.99142,0.8743,1.12017,0.89948,2.39951,0.000142579,0.000142579,0.000142579
