epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3523.26,1.84119,11.6965,3.12366,0.01995,0.80345,0.09738,0.08103,1.38003,16.3695,3.03479,6.36522e-05,6.36522e-05,6.36522e-05
2,6824.03,1.61075,9.32943,2.76118,0.63582,0.28694,0.44683,0.36597,1.58456,12.9473,3.29233,0.000126388,0.000126388,0.000126388
3,10320.1,1.62309,7.22677,2.72571,0.55521,0.62233,0.67586,0.55134,1.52963,9.8409,3.13098,0.000187857,0.000187857,0.000187857
4,13407.8,1.58483,5.66301,2.66348,0.68352,0.69311,0.81625,0.71612,1.14904,7.23859,2.59729,0.000186298,0.000186298,0.000186298
5,16483.6,1.53648,4.55588,2.59535,0.80286,0.83259,0.91349,0.81482,1.10892,5.33237,2.51248,0.000184397,0.000184397,0.000184397
6,19563.8,1.4573,3.85248,2.54274,0.81509,0.81018,0.9059,0.79394,1.1864,4.7621,2.66164,0.000182496,0.000182496,0.000182496
7,22627.9,1.41999,3.37935,2.50095,0.8463,0.87026,0.9416,0.83749,1.08352,3.63425,2.51453,0.000180595,0.000180595,0.000180595
8,25695.7,1.38982,3.04498,2.47609,0.89139,0.8707,0.96037,0.86382,1.03581,2.94013,2.45668,0.000178694,0.000178694,0.000178694
9,28762.7,1.35628,2.75441,2.45753,0.85711,0.88757,0.95947,0.86069,1.03895,2.79578,2.46777,0.000176794,0.000176794,0.000176794
10,31826.8,1.33016,2.50237,2.43894,0.88076,0.9151,0.97442,0.88139,1.02518,2.2941,2.43162,0.000174893,0.000174893,0.000174893
11,34899.5,1.32476,2.34372,2.41206,0.92777,0.93591,0.98296,0.88423,1.0042,2.03163,2.38051,0.000172992,0.000172992,0.000172992
12,37963.6,1.28374,2.18337,2.38761,0.86977,0.93409,0.9764,0.89027,0.95798,1.88592,2.32509,0.000171091,0.000171091,0.000171091
13,41027.8,1.28706,2.08713,2.39132,0.91113,0.93299,0.98376,0.8985,0.94461,1.61933,2.31295,0.00016919,0.00016919,0.00016919
14,44103.3,1.25958,1.93411,2.37663,0.89733,0.95495,0.9794,0.89343,0.97743,1.48126,2.32297,0.00016729,0.00016729,0.00016729
15,47585.2,1.26158,1.8208,2.38025,0.94089,0.93691,0.98655,0.89207,1.01109,1.32455,2.41097,0.000165389,0.000165389,0.000165389
16,52188,1.24664,1.74582,2.35479,0.93507,0.94476,0.98531,0.90246,0.95036,1.23228,2.2996,0.000163488,0.000163488,0.000163488
17,55449.2,1.2161,1.6854,2.34723,0.9103,0.9506,0.98541,0.90365,0.93519,1.1857,2.29848,0.000161587,0.000161587,0.000161587
18,58563,1.22402,1.62697,2.34409,0.95706,0.95086,0.98972,0.90102,0.95495,1.09427,2.34489,0.000159686,0.000159686,0.000159686
19,64164.6,1.20005,1.56881,2.32422,0.95665,0.94512,0.99064,0.90265,0.92726,0.98515,2.26198,0.000157786,0.000157786,0.000157786
20,67307.5,1.19243,1.51292,2.3271,0.95639,0.94855,0.99007,0.90681,0.94342,0.96048,2.30766,0.000155885,0.000155885,0.000155885
21,70434.4,1.1687,1.45891,2.31231,0.96491,0.94265,0.9898,0.89666,0.97191,0.94383,2.33301,0.000153984,0.000153984,0.000153984
22,73547.8,1.16915,1.40519,2.30389,0.94014,0.95225,0.98968,0.9064,0.92039,0.89695,2.28143,0.000152083,0.000152083,0.000152083
23,76659.7,1.14801,1.36875,2.29261,0.96002,0.95418,0.99064,0.90272,0.97587,0.82721,2.3397,0.000150182,0.000150182,0.000150182
