epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3279.1,1.79207,11.6633,3.09683,0.78996,0.06724,0.12509,0.10419,1.42832,16.5051,3.11179,6.36522e-05,6.36522e-05,6.36522e-05
2,6540.17,1.56523,9.24694,2.72063,0.46202,0.3988,0.47511,0.41692,1.28282,12.8066,2.78414,0.000126388,0.000126388,0.000126388
3,9831.55,1.58606,7.23068,2.69114,0.62982,0.69983,0.72925,0.64108,1.20308,9.79989,2.7097,0.000187857,0.000187857,0.000187857
4,13134.1,1.55591,5.66176,2.63852,0.67326,0.7571,0.83086,0.74166,1.11569,7.31282,2.5954,0.000186298,0.000186298,0.000186298
5,16412.5,1.50399,4.5499,2.56848,0.78808,0.79924,0.91696,0.81158,1.13411,5.66519,2.58441,0.000184397,0.000184397,0.000184397
6,19688.5,1.44705,3.89178,2.53268,0.8441,0.86657,0.94523,0.81468,1.2549,4.61846,2.73774,0.000182496,0.000182496,0.000182496
7,23047.1,1.39988,3.38096,2.48805,0.77923,0.87456,0.93315,0.82423,1.11176,3.9431,2.5032,0.000180595,0.000180595,0.000180595
8,26802.7,1.36845,2.99326,2.46097,0.93061,0.87792,0.97299,0.86847,1.09434,3.17204,2.58716,0.000178694,0.000178694,0.000178694
9,30337.6,1.34694,2.70734,2.44955,0.85551,0.9063,0.95479,0.85115,1.0842,2.97886,2.49502,0.000176794,0.000176794,0.000176794
10,33427.3,1.32475,2.44923,2.42869,0.84635,0.93849,0.9726,0.86959,1.04813,2.44783,2.46084,0.000174893,0.000174893,0.000174893
11,36495.3,1.29056,2.27743,2.39694,0.85327,0.92003,0.96841,0.85885,1.08845,2.26107,2.49318,0.000172992,0.000172992,0.000172992
12,39554.3,1.27913,2.11386,2.38886,0.89289,0.95735,0.9855,0.88975,0.9947,1.90996,2.36825,0.000171091,0.000171091,0.000171091
13,42605.3,1.27469,2.00205,2.38337,0.94236,0.94111,0.98757,0.89484,0.97206,1.70001,2.3526,0.00016919,0.00016919,0.00016919
14,45655.5,1.26121,1.90158,2.37615,0.94396,0.9454,0.99171,0.90516,0.96489,1.52157,2.32536,0.00016729,0.00016729,0.00016729
15,48705.3,1.24586,1.78297,2.3694,0.95381,0.9693,0.99394,0.90081,0.96616,1.36957,2.31558,0.000165389,0.000165389,0.000165389
16,51794.4,1.23483,1.68172,2.34534,0.94362,0.94415,0.98924,0.89707,0.98024,1.2563,2.33744,0.000163488,0.000163488,0.000163488
17,55072.7,1.20074,1.61974,2.33591,0.94846,0.97784,0.99348,0.89788,0.99316,1.14016,2.37487,0.000161587,0.000161587,0.000161587
